,1
best_result,-186.6438089196827
mean_scores_g,"[-108.35373788873456, -174.45696984130518, -174.45696984130518, -174.45696984130518, -174.45696984130518, -174.45696984130518, -174.45696984130518, -174.45696984130518, -174.45696984130518, -174.45696984130518, -174.45696984130518, -181.7729006033201, -183.69191472571825, -183.69191472571825, -183.69191472571825, -183.69191472571825, -183.69191472571825, -183.69191472571825, -183.69191472571825, -183.69191472571825, -184.52112657968638, -184.52112657968638, -185.22369881392248, -185.22369881392248, -185.7202201806853, -185.7202201806853, -186.3475888874991, -186.3475888874991, -186.3475888874991, -186.6438089196827, -186.6438089196827]"
opposition,"(False,)"
generations,30
m,100
problem,shubert
