,1
best_result,-186.73090880734546
mean_scores_g,"[-119.23231242393815, -174.5489355469901, -183.88665427362014, -185.34725193890046, -186.04930574588423, -186.25258410473253, -186.4905598644134, -186.52138483214443, -186.6076927296629, -186.6145415819633, -186.62259242605253, -186.6733455597659, -186.6733455597659, -186.67998102452347, -186.68379822477254, -186.68379822477254, -186.69089401494173, -186.69729816724532, -186.69729816724532, -186.69729816724532, -186.69729816724532, -186.7085615277117, -186.7085615277117, -186.71028135661368, -186.7143323074494, -186.71832524152893, -186.71832524152893, -186.7206245054942, -186.7212444270287, -186.721616230564, -186.721616230564]"
opposition,True
function_key,pseudocode
generations,30
m,100
problem,shubert
