,3
best_result,-1.0316284521089472
mean_scores_g,"[2.3665965178990405, -0.10916049362265312, -0.10916049362265312, -0.5651226506448666, -1.0007614200581827, -1.0007614200581827, -1.025848280691008, -1.0297381554296692, -1.0297381554296692, -1.0304308511467468, -1.0304308511467468, -1.0311384708748506, -1.0313727366689704, -1.0313727366689704, -1.031610817745218, -1.031610817745218, -1.0316182552388682, -1.0316182552388682, -1.0316271349427382, -1.0316271349427382, -1.0316271349427382, -1.0316271349427382, -1.0316280767800947, -1.0316280767800947, -1.0316280767800947, -1.0316282809877748, -1.031628325469086, -1.0316284193272338, -1.0316284193272338, -1.031628419694158, -1.0316284521089472]"
opposition,"(False,)"
generations,30
m,100
problem,camel
