,5
best_result,-1.0316284534898728
mean_scores_g,"[2.4403606826616056, -1.0309499685059507, -1.0316183393857585, -1.0316278387408886, -1.0316282214087522, -1.0316284257949775, -1.03162843562464, -1.0316284378079246, -1.0316284450992441, -1.0316284452127888, -1.0316284489173029, -1.0316284526025044, -1.0316284526025044, -1.03162845307223, -1.03162845307223, -1.0316284531892563, -1.031628453271722, -1.031628453340204, -1.0316284534271887, -1.0316284534362126, -1.0316284534591773, -1.0316284534775093, -1.0316284534842737, -1.0316284534876274, -1.0316284534885796, -1.0316284534890485, -1.0316284534890912, -1.0316284534895601, -1.0316284534897306, -1.0316284534897733, -1.0316284534897875]"
opposition,True
function_key,pseudocode
generations,30
m,100
problem,camel
