,23
best_result,-1.0316278674244472
mean_scores_g,"[0.7870796069034611, -0.07655510144107325, -0.7311172622460447, -0.8030291573322188, -0.8623886149009508, -0.9777586628734412, -0.986619086262138, -0.9949450956250558, -1.0054197637859943, -1.013465166866311, -1.022045040123757, -1.0271718939480365, -1.0274911987401367, -1.028016876172103, -1.0287294538093903, -1.0298980885723807, -1.0301434469422333, -1.0305627337744312, -1.0307745557397254, -1.0310180678831813, -1.0310680028265864, -1.0312337181198359, -1.0313086574451376, -1.0314751463244534, -1.031529576986003, -1.0315421850111335, -1.0315576417589796, -1.0315576417589796, -1.0315792713429204, -1.031602571716931]"
F,0.5
CR,0.5
opposition,False
generations,30
m,100
problem,camel
