,17
best_result,-186.7173198717661
mean_scores_g,"[-116.35467014920957, -120.43660242752608, -120.43660242752608, -148.65945495350655, -148.65945495350655, -151.7941375590206, -153.35522367126842, -155.08397109667814, -155.08397109667814, -160.8163428471932, -160.8163428471932, -165.2384143717374, -165.2384143717374, -165.2384143717374, -165.2384143717374, -167.77540908632892, -169.33913799795565, -169.33913799795565, -170.02690249436634, -170.84864782895846, -170.84864782895846, -170.84864782895846, -170.84864782895846, -172.9717373866941, -172.9717373866941, -176.6179558842959, -177.47447791316318, -177.47447791316318, -177.9397761670819, -178.47671944005026]"
F,2.0
CR,0.5
opposition,False
generations,30
m,100
problem,shubert
